"testMat[, 1]","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96"
0,36.5,36.2732002564888,37.3,36.9430984234673,37.4,37.5,37.1774914794812,37.7,37.3632930293484,38,38.2,37.7728011693111,34.7,34.8164429091131,29.2,29.6,29.9843866300232,27.3,28.2797559229768,29,28.6,29.5792301893966,27.4,28.7702484779135,27.6,28.2,29.7656999932722,30.2,31.2762608484191,33,34.7,34.8846994701738,36.6,36.3886870385338,37.6,37.4,36.9724823738077,37.9,37.363182074204,38,38,37.4815155141967,37.9,37.4135133923118,37.9,37.8,37.3205117490411,38,37.4775072780618,38.1,38.2,37.7602533680409,38.3,37.8519442400482,38.3,38.3,37.831822792225,38.4,37.9163591967752,38.5,34.9,34.9721085664383,30.6,30.8812896570318,30.7,32.3,32.7840639857436,32.5,33.1842242401537,33.9,35.1,35.2624008453183,34.6,34.96527190258,34,34.6,34.9840910304055,36.4,36.4393515987271,38.5,39.1,38.5865679749238,40.5,39.6928468386661,41.3,40.8,39.8375070930541,40.6,39.7140026400119,40.9,41,40.018625371666,40.7,39.8748232890822,41,41.5
1,37.2,37.2583049570466,37.9,37.983172222714,37.9267138204139,38.1,38.118309197223,38.4,38.3810616718824,38.258767077848,38.8,38.6467495014737,37.1,37.158595971788,37.1023759536999,32.2,32.0739593449358,31,31.6533154162679,32.2611391696599,32.1,32.5236987529563,31.5,32.3170682102542,32.8834983202368,32.7,33.4516596761516,34.7,35.0915090553536,35.2827048004617,37.6,37.5028826155523,39.1,38.6103538305991,38.2094935238256,38.3,38.292471123908,38.6,38.3342651055249,38.0253940487823,39,38.6141728919081,38.9,38.5624332942144,38.2380851095559,38.9,38.5530241803869,39,38.6791596459129,38.3591391938475,39,38.753262423122,39.1,38.872696052282,38.5774701599352,39.2,38.9254228359529,39.1,38.8951006872711,38.6176255979865,36.6,37.186405574545,33,32.529486665256,32.3895995854044,35.5,35.4265654439297,36.4,36.5078358295242,36.5255918423287,38.3,38.0478414531186,38.1,38.0560795560419,37.8839650219588,39,38.3430250280609,40,39.3805824908114,38.8662785376944,41.9,40.8930743561542,41.9,41.2602702451889,40.6653437668257,41.5,40.7219976125292,41.4,40.64193282047,39.9988124573674,41.9,41.0244712328161,41.5,40.8622996501913,40.2583415515298,42.1
2,36.4,36.2034748284774,37.3,36.9314429384783,36.6206419629541,37.8,37.2459756226155,38,37.4827065471248,37.0654558198967,38.5,37.8140576772392,34.3,34.7340448928929,34.9395601270713,29.2,29.6446330244066,28.2,28.9188115743505,29.7295229431316,29.9,30.8618736204102,29.3,30.6347761349056,31.496183848699,31.1,32.0035030868284,32.1,33.1522329984299,33.6898992045857,35.8,35.9295245191266,37.3,36.8992656569416,36.5498137322743,37.5,36.9595017272652,38,37.2156805921854,36.6522472082013,38.1,37.3635725528758,38,37.3578075245456,36.8588802177441,37.8,37.2271975169458,37.9,37.3373672717646,36.8842865667487,38.6,37.7893231196203,38.7,37.8944607738042,37.2838130906602,38.6,37.8276612190395,38.7,37.9375971405361,37.3622019723123,34.6,35.0640890633481,30.5,30.3548453059652,30.5382741518614,33.3,33.7257982954507,34.5,34.9216093036149,35.1034946894683,36.2,36.260883744324,35.9,36.1560094949654,36.1700819665633,36.3,36.4567158739121,37.7,37.610939224978,37.3382581070793,39.9,39.127352727121,40.8,39.7704908737755,38.9791939422352,40.9,39.5805996859524,40.8,39.5542398149988,38.6207761547512,40.8,39.6517586219479,40.8,39.6753477364776,38.804875320554,41.6
3,36.2,36.2182342449643,37,36.9985645663508,36.9125000774941,37.4,37.2357828864915,37.6,37.515670800309,37.3537087392856,38,37.7657585126588,35.3,35.1779848779908,35.1987648223521,28.9,29.691528738399,28.3,29.2560280387512,30.1977900490222,32.1,32.525374435475,32.7,33.0375685491332,33.275559890316,34,34.1086828445808,35.7,35.7774969887673,35.6669184954037,39.1,38.3420283002217,38.9,38.3611732537626,37.8520904425793,38.1,37.663719209656,38.3,37.7616004265813,37.3086703014258,38.4,37.8479320045174,38.4,37.9086589555372,37.4840917898639,38.3,37.8036041537557,38.3,37.8691254023363,37.486314944086,38.6,38.0637124754199,38.7,38.1925638407609,37.7470422099959,38.7,38.1784253361551,38.8,38.3003046943058,37.8705796793379,35.7,35.8221153687837,29.9,29.9603877004596,30.359918367327,34.7,34.8670079878376,38,37.481634649884,37.068815045845,38.9,38.2751460146378,38.5,38.0969507811046,37.698615458052,39.6,38.9255056763408,40.6,39.9084448354463,39.1786816492663,42.2,41.0177331741115,41.8,40.8996162516758,40.1010088863924,41.3,40.2231556457024,41.1,40.1539427061389,39.3455148248603,41.2,40.2048436092387,40.9,40.081472407814,39.3648233184305,41.4
4,36,36.0427227545886,36.8,36.7937455016064,36.7349887015442,37.1,37.0032167766173,37.3,37.227355924172,37.1100408399968,37.6,37.45259242236,35.9,35.7832098634255,35.7153459175592,31,31.1841001324952,30.4,30.8142156365981,31.2921740941462,30.5,31.3267979919449,31.1,31.7991066461726,32.3246918656373,33.2,33.450925452013,34.6,34.8053430323282,34.8907592247696,38,37.5402703111906,38.6,38.0979319535375,37.6499821349731,38.4,37.8899934470153,38.7,38.0575343424791,37.5357554093024,38.7,38.095444437902,38.5,37.9814993083406,37.5459167035752,38.4,37.8960882147313,38.5,38.0068937147033,37.5894470651734,38.7,38.1646134691974,38.9,38.3412858203858,37.8701017823337,39,38.4051640873247,38.9,38.3650994346323,37.9145653726149,36.7,36.5213259340713,31.8,31.632155708547,31.6596121858315,33.4,33.8864368494641,36,36.0291973847197,35.9974802156728,38,37.6187098066356,37.8,37.5306859105332,37.2549091054319,38.4,37.9624774843732,39.6,39.0461973789117,38.5058493888874,41.3,40.4037504420406,41.7,40.800766377849,40.0310395775645,41.5,40.4388006752547,41.2,40.2452967455887,39.4483077956265,41.4,40.4180264276105,41.4,40.4364275272213,39.6362050033536,41.9
5,35.7,35.5872581575205,36.5,36.2981955846023,36.1656418281147,36.8,36.5441541244342,37.1,36.8056055711768,36.596320943917,37.4,37.0565034583077,34.1,34.3774753169862,34.5206948734741,29.5,29.8522992161185,28.9,29.3650052384757,29.9911578498869,31,31.7648815780903,32.4,32.6541801746008,32.8786250827741,34.1,33.9253484531488,35.3,35.206592513541,35.115429294102,39,38.0730311144567,38.6,37.8868349245943,37.3290660750757,38,37.3049678313086,38.4,37.5401926505591,36.9347007620585,38.6,37.6715170578891,38.4,37.6011030815565,37.0371748532446,38.3,37.5087389476191,38.4,37.5838424845753,37.0293799434974,38.7,37.8106456349222,38.7,37.8647284916656,37.2744197565375,38.8,37.9067307717246,38.7,37.909766255748,37.3482787928475,36.1,35.6112894038547,30.6,30.4950687378028,30.6156044149781,33.3,33.8602108371793,37.2,36.8394447193903,36.4937416760324,38.5,37.8023100881596,38.4,37.6778861794688,37.163091257016,39.6,38.6078102718896,40.9,39.6483182622133,38.7374081489154,41.9,40.5975763732955,41.4,40.3063995705723,39.4427286864601,41.2,39.9272690933452,41,39.8025903423552,38.8835573610769,41.1,39.8708277721689,41,39.7720373151216,38.8770632649022,41.5
6,36.6,36.7619744589321,37.6,37.3387869256888,37.1447249431613,38,37.650680533616,38.3,37.8655307590617,37.6164641263713,38.8,38.1761375071715,34.7,35.6074610575438,34.9908612312241,30.7,31.2623872112696,29.8,30.4377296499912,30.6894913302453,28.9,30.7069489992432,28.7,30.7993973426761,31.4648221023829,33.8,33.6977964478026,35.6,35.0089356686538,34.8570878004214,38.4,37.6367551640597,39.4,37.779372187141,37.5028652883297,38.8,38.2636545788184,39.3,38.7165363969754,38.0743716757323,39.5,38.9119380645812,39.3,38.7795716272038,38.1527786070916,39.1,38.7248605513178,39.2,38.8217624964764,38.2320631271663,39.4,39.0719093436091,39.5,39.1420337896584,38.5431925401789,39.6,39.2819055169695,39.5,39.2218472642818,38.5815554217918,36.8,36.9036876888119,31,31.7894831207987,31.8510837956818,30.5,32.5024965732883,34.2,35.4587111546788,35.5456592299611,37.9,37.5857402014555,38,37.685176129105,37.0682619441808,39.1,38.6792817154886,40.2,39.5831486977827,38.8636230758697,41.5,40.8715532143385,41.1,40.9137108211661,40.2372794941595,41.8,41.156855128376,41.6,40.9909364585531,40.1766501607801,41.9,41.2581338666236,41.8,41.163405320715,40.2941947375577,42.3
7,37.5,37.3200460456137,38.3,37.9305156288925,37.6566916352482,38.7,38.2297708391321,39,38.5161117031215,38.1539822111535,39.4,38.8119730274761,36.5,36.2888565715605,35.8522379042337,31.1,31.5122101785873,30.1,30.5662260442188,30.8883157193797,28.9,30.3820818269972,28.6,30.3902257944343,31.4225525689642,33.9,33.9939455492308,35.9,35.5245830530792,35.3534480806058,38.3,38.0380608541345,38.7,38.3144076148564,37.9923684807464,39.8,38.9598617432459,40.6,39.5835591698871,38.8254111525335,40.8,39.7792240364034,40.6,39.6588174277266,38.9270474786006,40.4,39.5254079493837,40.5,39.654065175555,38.9820865908726,40.8,39.8990816192521,40.9,39.9966611017928,39.2649039442921,41,40.0580714470752,40.9,40.0064134057507,39.2923672186918,38,37.636594266389,31.1,31.7967455033556,32.0909392775309,30.2,31.9714725475401,34.5,35.2767486091645,35.6605943616074,38.1,37.8759760987448,38.5,38.1626201427514,37.628364901168,39.6,39.0470777997016,40.5,39.9909328662667,39.4096069892587,42.3,41.3849500084384,42.6,41.5794223498105,40.8149823278174,43.2,41.9351760919177,43,41.8282700647018,40.9149881969716,43.2,42.0381872034395,43.2,42.0454095982848,41.0782556692805,43.7
8,37.8,37.4737939808579,38.6,38.1976030958074,37.9178003236554,38.9,38.4989008524575,39,38.6317440625365,38.3275250319098,39.1,38.8330359432257,36.6,36.4118677804929,36.385237822996,32.4,32.3670871803487,31.6,31.6542855318917,31.9055415330673,30.7,31.6300576325684,30.4,31.5368982013169,32.4699190379156,35.5,34.8320031669565,37,36.04615074488,35.7835192915531,39,38.4291428128773,39,38.7729792599733,38.4751715552804,40,39.2546820709093,40.5,39.6603377131071,38.9568472149374,40.5,39.6902553447927,40.3,39.5319546980055,38.911238501537,40.2,39.4263034277239,40.3,39.5156213345582,38.9037502783832,40.5,39.7867669812378,40.6,39.8869467555468,39.2560604508193,40.8,39.9901283248751,40.9,40.0376084215157,39.3459577104232,37.7,37.2351352216539,33.1,33.1299709392474,33.0932119802238,32.9,33.922075753439,36.5,36.5345705766821,36.6169890649268,39.9,38.9299065263229,39.7,38.7426732690497,38.2306229863133,41.3,39.7649579181526,42.2,40.720527940373,39.8153249616408,43.3,41.9813857367234,43.2,42.1352046003131,41.2239390463766,43.2,42.1126820940552,43,41.9386049308302,40.9751539743529,43.1,42.0296143717513,43.1,42.0267594693916,41.0745785801661,43.6
9,41.6,40.8445412891371,42.5,41.5576276652292,40.7931917914396,42.4,41.5199401036583,42.9,41.912065993079,41.1091949266593,43.3,42.2904655699917,38.9,38.6998954294244,38.4011764176154,38.7,37.8856077255326,38.9,37.9213576484621,37.1818304480024,36.8,36.3154329322503,35.8,35.5035245041579,35.2832598666458,35.9,35.611538960356,36.5,36.2068266477076,36.0494027883429,38.7,38.1840138873247,39.7,39.0855896653535,38.6432449397572,40.9,40.1809045678836,40.2,39.5977472227568,39.1221786374748,40.8,40.1393350350338,40.9,40.2096822934101,39.651278607965,41.8,40.9695424989331,42,41.1227140764368,40.4203078650429,42.2,41.3396943971127,42.4,41.4759510096181,40.7360236501704,42.8,41.8348683525888,42.6,41.6440420371494,40.8898825765116,41.9,41.0692715327465,39.6,38.7515870878583,38.0177471354527,39,38.3445068320931,38.7,38.0820517510098,37.6232062261237,39.3,38.7238999757137,39.2,38.699391897084,38.2860835020356,40.2,39.4343529943795,40.3,39.5851320297346,39.0511186919077,41.7,40.883516748131,43,42.0083017240428,41.2064709252967,43.2,42.1699244230288,42.5,41.5902762029414,40.8696488514441,44.5,43.3158819532166,43.4,42.4076572484652,41.6086364487525,44.8
